Pharmacy Name	Type	Phone	Address	Area/LGA	Verification Status	Live-Verified
Prodrug Pharmacy (Ajao)	Retail	0803 450 0599	7B Asa Afariogun Street, Ajao Estate	Ajao Estate	Verified	Verified from published directory
Alpharma Pharmacy Store	Retail	0803 333 9137	23 St. Finbarr Road, Chief Bright Oridami Street	Akoka	Phone on record	
Beulah Pharmaceutical Chemists Ltd	Retail / Wholesale	0802 306 4112, 0803 641 1416	Beulah Plaza, 14 St. Finbarr's College Road	Akoka	Phone on record	
Drugs Cafe Pharmacy & Mini Mart	Retail	0903 514 3562	62 St. Finbarr's College Road	Akoka	Phone on record	
Eagle Pharmacy	Retail	Not listed	45 Shasha Road, Akowonjo	Akowonjo	Needs phone verification	
Jullifem Healthcare	Retail	0813 386 5638	1 Adeyemi Street, Alagbado	Alagbado	Verified	Verified from published directory
Justinak Pharmacy	Retail	0816 650 8792	1/2 AIT Road, Kola Bus-stop, Alagbado	Alagbado	Verified	Verified from published directory
League Pharmacy Limited	Retail	0801 343 8888, 0818 266 1500	289 Herbert Macaulay Way	Alagomeji, Yaba	Phone on record	
Folyma Pharmacy	Retail	0803 365 1566	Alakuko Road, Alakuko	Alakuko	Verified	Verified from published directory
Glory Divine Pharmacy	Retail	0803 670 6553	1 Bale Animashaun Road, Alakuko Bus stop	Alakuko	Verified	Verified from published directory
Palchris Pharmacy	Retail	Not listed	9 Egbado Street, Off Dalemo Bus stop, Alakuko	Alakuko	Needs phone verification	
Supavice Pharmacy & Stores	Retail	+234 813 811 2519	13 Baale Animashaun Rd	Alakuko	Phone on record	
Vigilis Pharmacy	Retail	0805 413 1742	45 Nureni Yusuf Shopping Complex, Alakuko	Alakuko	Verified	Verified from published directory
Elna Pharmacy & Stores	Retail	0813 799 1267	33 Ijegun Road, Ikotun	Alimosho	Phone on record	
Engraced Pharmacy	Retail	0802 757 3761, 0803 822 1372, 0812 796 6963	80 Egbeda-Idimu Road, Egbeda	Alimosho	Phone on record	
Goscel Pharmacy	Retail	Not listed	30B Ayo Afolabi Street, Aboru, Iyana-Ipaja	Alimosho	Needs phone verification	
Health Consult Pharmacy	Retail	Not listed	12 Odunsi Road, opposite Everlead College, Ogunseye Ikola	Alimosho	Needs phone verification	
Jodag Pharmacy	Retail	Not listed	Block 61, Plot 1456, Leye Adebowale Street, Heritage Estate, Aboru, Alimosho	Alimosho	Needs phone verification	
Lifepoint Pharmacy	Retail	0818 255 6242	20/26 Alaba Oro Road, Amukoko	Amukoko	Verified	Verified from published directory
Cus Pharmacy	Retail	0802 429 6039	56 Old Ojo Road, Amuwo	Amuwo-Odofin	Verified	Verified from published directory
Grace Johnson Pharmacy	Retail	0816 268 2266	434 Old Ojo Road, Abule Ado	Amuwo-Odofin	Verified	Verified from published directory
Live More Pharmacy	Retail	0808 605 8265	210 Old Ojo Road, Agboju	Amuwo-Odofin	Verified	Verified from published directory
Mackebe Pharmacy	Retail	0803 057 3611, 0808 815 5554	1C Marwa Road, Satellite Town	Amuwo-Odofin	Phone on record	
Med Store Pharmacy	Retail	0806 578 2292	133 Old Ojo Road, Agboju	Amuwo-Odofin	Verified	Verified from published directory
Seadone Pharmacy	Retail	0808 523 4436	230 Old Ojo Road, Mazamaza	Amuwo-Odofin	Verified	Verified from published directory
Vine Pharmacy & Stores	Retail	No public number on record	Amuwo-Odofin (public listing)	Amuwo-Odofin	Needs phone verification	
RDC Pharmacy	Retail	0815 613 6683	7/8 Bush Street, Anthony, Lagos	Anthony	Verified	Verified from published directory
Eno Pharmacy	Retail	01 497 7200	Adebayo Mokuolu Street	Anthony Village	Phone on record	
Medlink Pharmacy & Supermarket	Retail	+234 818 039 4308	15 Sunmola Street	Anthony, Maryland	Phone on record	
Remedia Pharmacy	Retail	0802 784 4181, 0812 873 1567	69 Kofo Abayomi Avenue	Apapa	Phone on record	
Bisgan Pharmacy	Retail	0706 438 8776	5 Unity Street, Ayobo	Ayobo	Verified	Verified from published directory
De-Omega Pharmacy	Retail	0908 616 6392	151 Ipaja Ayobo Road, Igbogbo Gbagada Bus stop, Ayobo	Ayobo	Verified	Verified from published directory
Favalin Pharmacy	Retail	0807 412 0389	27 Unity Street, Ayobo	Ayobo	Verified	Verified from published directory
Jenjil Pharmacy	Retail	0802 344 1885	118 Asipa Road, Ayobo	Ayobo	Verified	Verified from published directory
Karadin Pharmacy	Retail	0805 431 2909	162 Lord Reign Plaza, Ayobo	Ayobo	Verified	Verified from published directory
FlintY Rock Pharmacy	Retail	Not listed	13 Isashi Road, Mebamu, Badagry	Badagry	Needs phone verification	
J.O. Sarchmore Pharmacy	Retail	0703 341 2636	118 Old Lagos Road, Ajara Dackor, Badagry	Badagry	Verified	Verified from published directory
M.o.c Hossana Pharmacy	Retail	0805 477 1791	Ibereko, Badagry	Badagry	Verified	Verified from published directory
Yankee Pharmacy	Retail	0703 701 2498	75 Hospital Road, Ajara, Badagry	Badagry	Verified	Verified from published directory
C. Prime Pharmacy	Retail	0701 260 6864	52 Okuta Street, Bariga	Bariga	Verified	Verified from published directory
CPG Pharmacy	Retail	0803 572 4576	37 Tijani Ashogbon Street, Bariga	Bariga	Verified	Verified from published directory
Cyronx Pharmacy	Retail	0803 043 2917	41 Ilaje Road, Bariga	Bariga	Verified	Verified from published directory
Foundation Pharmacy	Retail	0818 175 9215	23 Emmanuel Street, off First Bank, Bariga	Bariga	Verified	Verified from published directory
Franco Pharmacy	Retail	0803 412 7564	49 Okuta Road, Bariga	Bariga	Verified	Verified from published directory
Grasol Pharmacy & Store	Retail	0802 312 3759	71 Igiolugbin Street, Bariga	Bariga	Verified	Verified from published directory
Jomason Pharmacy	Retail	0903 743 5933	24 Okuta Street, Bariga	Bariga	Verified	Verified from published directory
Lifeplus Pharmacy (Bariga)	Retail	0814 150 1109	29 Gbagada Road, Bariga	Bariga	Verified	Verified from published directory
Nich Pharmacy	Retail	0902 008 0902	38 Okuta Road, Bariga	Bariga	Verified	Verified from published directory
Olivegreen Pharmacy	Retail	Not listed	33 Okuta Road, Bariga	Bariga	Needs phone verification	
Pinco Pharmacy & Store (Bariga)	Retail	0802 344 4408	111 Igi-Olugbin Street, Pedro, Bariga	Bariga	Verified	Verified from published directory
Rinzco Pharmacy	Retail	0814 434 9779	32 Okuta Street, Bariga	Bariga	Verified	Verified from published directory
Surplus Pharmacy	Retail	0803 352 3345	48 Igi Olugbin Street, Ladi-Lak, Bariga	Bariga	Verified	Verified from published directory
Ugoldenchuks Pharmacy	Retail	0706 120 4155	42 Jagunmola Road, Opp. Oando Filling Station, Bariga	Bariga	Verified	Verified from published directory
Kunimed PharmaChem Limited	Pharmaceutical Services	0803 404 0907, 0803 560 7172	1 Adelanwa Street	Dopemu	Phone on record	
Hope-cee Pharmacy & Stores	Retail Pharmacy	0803 715 4747, 0809 872 9999	6 Thomas Street	Ebute Metta West	Phone on record	
Life Back Pharmacy	Retail	0817 119 075	Ebute-Metta, Lagos	Ebute-Metta	Verified	Verified from published directory
Pharmaflash Pharmacy	Retail	0802 314 0347	38 Cemetery Street, Ebute-Metta	Ebute-Metta	Verified	Verified from published directory
Pius & Gina Pharmacy (Ebute-Metta)	Retail	Not listed	28 Glover Street, Opposite Old Yaba Road, Ebute-Metta	Ebute-Metta	Needs phone verification	
Tonyson Pharmacy & Stores	Retail	01 295 2044, 0708 557 0677, 0802 303 9766	47A Simpson Street	Ebute-Metta	Phone on record	
Ambassadors Pharmacy	Retail	0805 347 6912	19 Isiba Oluwo Street, Egbeda	Egbeda	Verified	Verified from published directory
Charther Pharmacy	Retail	Not listed	250 Akowonjo Road, Egbeda	Egbeda	Needs phone verification	
Clich Pharmacy	Retail	0803 322 4562	3/5 Godlove, Akowonjo Road, Egbeda	Egbeda	Verified	Verified from published directory
Crystal Specialist Hospital Pharmacy	Retail	+234 1 473 5162	148-150 Akowonjo Road, Egbeda	Egbeda	Verified	Verified from published directory
Kerion Pharmacy	Retail	0817 777 8913	Gowon Estate, 3rd Avenue, opposite St. Bernadette School, Egbeda	Egbeda	Verified	Verified from published directory
Lola Pharmacy	Retail	0803 347 0652	10 Idimu Road, Egbeda Bus stop	Egbeda	Verified	Verified from published directory
Nard Pharmacy (Alimosho)	Retail	0915 430 6656	3 Egbeda-Idimu Road, Divine Court Plaza, Alimosho Bus stop, Egbeda	Egbeda	Verified	Verified from published directory
Nectarite Pharmacy	Retail	Not listed	No. 2 Olorunwa Close, Karimu Laka Street, Egbeda	Egbeda	Needs phone verification	
Nuges Pharmacy	Retail	Not listed	26/27 Karimu Laka Street by Oba's Palace, Egbeda	Egbeda	Needs phone verification	
Ofred Pharmacy	Retail	Not listed	Adenle Road, Off 431 Junction, Gowon Estate, Egbeda	Egbeda	Needs phone verification	
Pharmatone Pharmacy	Retail	Not listed	136 Egbeda-Idimu Road, Egbeda	Egbeda	Needs phone verification	
Pius & Gina Pharmacy (Egbeda)	Retail	Not listed	107A Akowonjo Road, Vulcanizer Bus-stop, Egbeda	Egbeda	Needs phone verification	
Primelead Pharmacy	Retail	Not listed	H27 A Close, Road 34, Opposite Navy Block 86, Gowon Estate, Egbeda	Egbeda	Needs phone verification	
Salvich Pharmacy	Retail	Not listed	9 Lawal Street, Vulcanizer Bus stop, Egbeda	Egbeda	Needs phone verification	
Teaco Pharmacy	Retail	0813 526 2542	50 Akowonjo Road, Egbeda	Egbeda	Verified	Verified from published directory
Blessed Neodyke Pharmacy	Retail	0803 406 0316	21 Fadu Avenue, Ejigbo	Ejigbo	Verified	Verified from published directory
Gbajumo Ventures	Retail	0802 412 7633	8 Ifoshi Street, Ejigbo	Ejigbo	Verified	Verified from published directory
Kings Patent Medicine Store	Retail	0080 341 4609	1 Olusoga Street, Ejigbo	Ejigbo	Verified	Verified from published directory
Sabuzo Mega Pharmacy	Retail	0817 921 4868	3 Ojuola Street, Ejigbo	Ejigbo	Verified	Verified from published directory
Adornlife Pharmacy	Retail	0802 312 5693	Shop C11/005, A Close, 22 Road, Festac	Festac	Verified	Verified from published directory
Drugplus Pharmacy	Retail	0802 344 0217	32/41 Road Junction, 32 Road, Festac	Festac	Verified	Verified from published directory
Kaycee Pharmacy (Festac 2)	Retail	0803 670 8884	22 Road, Off 5th Avenue, Festac	Festac	Verified	Verified from published directory
Kaycee Pharmacy (Festac)	Retail	0809 531 2332	22 Road, Festac Town	Festac	Verified	Verified from published directory
Kris Daniel Pharmacy	Retail	0803 303 2903	Opposite Mr Biggs, Festac	Festac	Verified	Verified from published directory
Kris Daniels Pharmacy (Festac)	Retail	0803 244 1992	1st Avenue, Opposite Mr. Biggs, Festac	Festac	Verified	Verified from published directory
Monis Natural Healthcare	Retail	0802 360 0428	5th Avenue, By Last Bus stop, Festac	Festac	Verified	Verified from published directory
Osbud Pharmacy	Retail	0809 500 0005	5th Avenue, E/G Close, Festac	Festac	Verified	Verified from published directory
Ox Pharm	Retail	0808 388 1907	32 Road, Festac	Festac	Verified	Verified from published directory
Victorious Pharmacy	Retail	Not listed	31 Road, Opposite D Close, Festac	Festac	Needs phone verification	
Ajekins Pharmacy	Retail	0803 501 8100	11A Ibrahim Onashokun Street, Ifako, Gbagada	Gbagada	Verified	Verified from published directory
Come Alive Pharmacy	Retail	0803 073 2692	15 Akerele Annex Church Street, Gbagada	Gbagada	Verified	Verified from published directory
Familycare Pharmacy	Retail	0809 430 8361	89 Oworo Road, Oworoshoki	Gbagada	Verified	Verified from published directory
HMR Pharmacy	Retail	0809 991 0978	38 Lanne Awolokun Street, Gbagada Phase 2, Gbagada	Gbagada	Verified	Verified from published directory
Isalu Pharmacy	Retail	0803 654 4255	55 Diya Street, Near Deeper Life Church, Ifako, Gbagada	Gbagada	Verified	Verified from published directory
Kerson Pharmacy	Retail	0803 254 0109	2 Williams Street, Sawmill, Gbagada	Gbagada	Verified	Verified from published directory
Lifeplus Pharmacy (Gbagada)	Retail	0802 930 3367	29 Gbagada Road, Gbagada	Gbagada	Verified	Verified from published directory
Lolana Pharmacy	Retail	0808 080 8827	2 Diya Street, Tantalizer Building, Ifako	Gbagada	Verified	Verified from published directory
Mebik Pharmacy	Retail	0803 402 7579	19b Church Street, Opp. Gbagada General Hospital	Gbagada	Verified	Verified from published directory
Medmark Pharmacy (Gbagada)	Retail	0803 633 6275	7 Adekunle Osomo Street, Soluyi, Gbagada	Gbagada	Verified	Verified from published directory
Pinco Pharmacy & Store (Gbagada)	Retail	0802 311 7334	28 Oke Street, Pedro, Gbagada	Gbagada	Verified	Verified from published directory
Pius & Gina Pharmacy (Gbagada)	Retail	Not listed	25 Diya Street, beside Fidelity Bank, Ifako Gbagada	Gbagada	Needs phone verification	
Sabest Pharmacy	Retail	0806 619 8166	19 Church Street, Opp. Gbagada General Hospital	Gbagada	Verified	Verified from published directory
Setz Pharmacy	Retail	0803 331 7477	1A Lanne Awolokun Street, Gbagada Phase 2	Gbagada	Verified	Verified from published directory
Setz Pharmacy (Gbagada)	Retail	0803 778 4608	18 Ashimowu Street, Gbagada	Gbagada	Verified	Verified from published directory
St. David's Pharmacy	Retail	No public number on record	Gbagada	Gbagada	Needs phone verification	
Massey Vickers Pharmacy	Retail	0803 325 3463	117 Idimu Road, Abule Odu Bus stop	Idimu	Verified	Verified from published directory
Mekon Pharmacy	Retail	Not listed	263 Ikotun-Idimu Road, Calvary Bus stop, Idimu	Idimu	Needs phone verification	
Chivic Pharmacy	Retail	+234 806 302 2117	45 Nnamdi Azikiwe Street	Idumota	Phone on record	
New Divine Pharmacy	Retail	+234 803 475 1885	12 Docemo Street	Idumota	Phone on record	
Bolutife Pharmacy	Retail	0803 716 7414	60 Amusa Idowu Street, Ijegun	Ijegun	Verified	Verified from published directory
City of Glory Pharmacy	Retail	0806 563 7705	8 Araromi Junction, Ijegemo Road, Ijegun	Ijegun	Verified	Verified from published directory
Lighthouse Pharmacy	Retail	Not listed	84 Agbado Road, Toyin Bus stop, Iju Ishaga	Iju-Ishaga	Needs phone verification	
All Drug Pharmacy	Retail	+234 803 307 0681	72 Mobolaji Bank Anthony Way, Opebi	Ikeja	Phone on record	
All Drugs Pharma LTD.	Retail	+234 905 437 9892	77B Mobolaji Bank Anthony Way	Ikeja	Phone on record	
Alpha Pharmacy & Stores Adeniyi Jones	Chain Retail	+234 906 000 6241	GFL, 33 Adeniyi Jones	Ikeja	Phone on record	
Alpha Pharmacy & Stores Ltd	Retail Chain	01-2704374, 0906 000 6241, 0906 244 0935	33 Adeniyi Jones Avenue	Ikeja	Phone on record	
Asset Pharmacy	Retail Pharmacy	0903 455 3795	1 Bethel Plaza, Olugbesan Close, Off Adegbeyemi Street, Allen Avenue	Ikeja	Phone on record	
Astute-Care Pharmacy	Retail	0805 199 9704, 0807 611 5319, 0816 174 2232	9 Alhaji Kofoworola Crescent, Off Obafemi Awolowo Way	Ikeja	Phone on record	
Atob Pharmacy	Retail	No public number on record	1 Toyin Street	Ikeja	Needs phone verification	
Bengerty Pharmacy & Stores Ltd	Retail	0815 404 7090, 0916 641 2957	3 Kudirat Abiola Way, Olusosun Bus Stop, Oregun	Ikeja	Phone on record	
Binklor Pharmacy & Stores	Retail	0808 925 2624	25 Afariogun Street, Off Awolowo Road	Ikeja	Phone on record	
Bolar Pharmaceuticals	Retail/Distributor	0705 481 7887, 0803 410 5614, 0813 328 9839	5 Talabi Street, Off Adeniyi Jones Ave	Ikeja	Phone on record	
Boluke Pharmacy	Retail	+234 803 322 3828, +234 903 361 8693, 0803 322 3828, 0812 800 0007	134 Obafemi Awolowo Way	Ikeja	Phone on record	
Cantol Pharmacy & Stores	Retail	01 493 2556	56 Opebi Road	Ikeja	Phone on record	
Capstone Pharmacy & Stores	Retail Pharmacy	0802 343 5779	163 Akilo Road	Ikeja	Phone on record	
Caremax Pharmacy	Retail	0802 321 0294	2 Balogun Street, Off Obafemi Awolowo Way, Ikeja	Ikeja	Verified	Verified from published directory
Cheltok Pharmacy	Retail	No public number on record	14 Allen Avenue	Ikeja	Needs phone verification	
Chemo Pharma Laboratory Limited	Manufacturer	0809 444 4275	10 Olanrewaju Street, Oregun, Ikeja	Ikeja	Verified	Verified from published directory
Chez Pharmacy	Retail	+234 1 2630997	70 Mobolaji Bank Anthony Way	Ikeja	Verified	Verified - Phone found
Chris-Ejik Pharmaceuticals	Manufacturer/Distributor	+234 815 089 2289 / +234 906 600 0006	No 3 Eje Ore-Imlavan Street, Off Oregun Road, Ikeja	Ikeja	Verified	Verified from published directory
Divine Favour Chemist	Retail	0803 229 4992	9 Atinke Olabanji Street	Ikeja	Phone on record	
Drugstoc E-Hub Nig Ltd	Wholesale/Distributor	0703 787 1214	3 Billings Way, Oregun, Ikeja	Ikeja	Verified	Verified from published directory
Elpha Pharmacy	Retail	0817 004 2399	64 Allen Avenue	Ikeja	Phone on record	
Fasid Pharmacy	Retail	Not listed	Osunsina House, No 1 Ogunnusi Road, Omole Bus-stop, Agidingbi, Ikeja	Ikeja	Needs phone verification	
Forlab Pharmacy	Retail	Not listed	8 Ola-Ayindestreet, Ikeja	Ikeja	Needs phone verification	
Franna Pharmacy	Retail	0802 675 9174	7 Opebi Road	Ikeja	Phone on record	
GNC Livewell	Wellness Pharmacy	0815 577 8882	1B Opebi Road	Ikeja	Phone on record	
HealthPlus Pharmacy - Allen Avenue	Retail Chain	+234 707 455 7529, 0708 404 2498, 0809 589 8328	Centage Plaza, 14 Allen Ave	Ikeja	Phone on record	Confirmed
HealthPlus Pharmacy - Ikeja City Mall	Chain Retail	+234 809 589 7922	Shop L29, Ikeja City Mall	Ikeja	Phone on record	
Juli Pharmacy	Retail	+234 707 576 2933	19 Kodesoh Street	Ikeja	Phone on record	
Lifepleni Pharmacy	Retail	0810 959 1659	23 Toyin Street, Ikeja	Ikeja	Verified	Verified from published directory
Lilac Pharmacy	Retail	+234 803 308 1103	12 Ladipo Kuku Street, Off Allen Avenue	Ikeja	Phone on record	
May & Baker Nigerian Plc Pharmacy Division	Manufacturer/Distribution	01-3426886, 0811 368 1447, 0906 437 3040	3/5 Sapara Street, Industrial Estate	Ikeja	Phone on record	
MedPlus Pharmacy - MMIA	Chain Retail	+234 915 259 2974	Murtala Mohammed International Airport	Ikeja	Phone on record	
Mediheirs Pharmacy & Stores	Retail	0809 515 2314	11 Olaide Tomori Street	Ikeja	Phone on record	
Medplus - Opebi	Retail Chain	+234 908 204 2960	61 Opebi Road	Ikeja	Phone on record	Confirmed
Medville Pharmacy	Retail	01 497 2615, 0802 368 9185	72 Allen Avenue	Ikeja	Phone on record	
NETT Pharmacy Ltd	Retail	+234 1 295 5051, 01-2955051, 01-7741255, 0807 453 5824	33 Opebi Road	Ikeja	Phone on record	
New Heights Pharmaceuticals Ltd	Wholesale/Retail	0803 320 5868	Suite BA28, 350/360 Ikorodu Road, Maryland	Ikeja	Phone on record	
Pharmarket Pharmacy	Retail	+234 705 051 3932	2 Oyetubo St, Off Obafemi Awolowo Way	Ikeja	Phone on record	Confirmed
Phiebiex Pharmacy	Retail	+234 803 331 4703	Oregun-Opebi Link Road	Ikeja	Phone on record	
Pius & Gina Pharmacy (EKO)	Retail	Not listed	31C Mobolaji Bank Anthony Way, beside EKO Hospital, Ikeja	Ikeja	Needs phone verification	
Pius & Gina Pharmacy (MBW)	Retail	Not listed	21 Mobolaji Bank Anthony Way, adjacent Ikeja Cantonment, Ikeja	Ikeja	Needs phone verification	
Reals Pharmaceuticals	Pharmaceutical Distributor	0809 142 5157	Plot 1, Alhaji Dosumu Street, Alausa	Ikeja	Phone on record	
SKT Healthcare Pharmaceuticals	Retail	0703 637 0444, 0909 778 9655	23 Ogunlowo Street, Off Awolowo Road	Ikeja	Phone on record	
Supplementsfield	Nutraceutical/Pharmacy	0805 125 9983, 0814 693 2782	21 Obafemi Awolowo Way	Ikeja	Phone on record	
Tiptop Nigeria Limited	Distributor	0703 009 4731	63 Oduduwa Crescent, Ikeja	Ikeja	Verified	Verified from published directory
TrooPharm (Ikeja)	Retail	0901 190 0232	6 Makinde Street, Off Awolowo Way, Testing Ground Bus Stop, Alausa, Ikeja	Ikeja	Verified	Verified from published directory
Vitabiotics Nig. Ltd	Manufacturer	+234 803 408 7139 / +234 805 135 1410	35 Mobolaji Johnson Avenue, Oregun Industrial Estate, Ikeja	Ikeja	Verified	Verified from published directory
Wina Pharmacy	Retail	No public number on record	5/9 Oregun Road	Ikeja	Needs phone verification	
Windy Pharmacy	Retail	No public number on record	146 Obafemi Awolowo Way	Ikeja	Needs phone verification	
Winner Pharmacy & Chemist Industries	Retail	No public number on record	41 Oregun Road	Ikeja	Needs phone verification	
Womisan Pharmacy	Retail	+234 813 970 3311	23 Oladosu Street, Off Olowu/Toyin Street	Ikeja	Phone on record	
My-Medicines.com	Online/Retail	+234 808 275 1466	12B Stella Solanke Street, International Airport Road, Ajao Estate	Ikeja Axis	Phone on record	
Health Plus - Isaac John (Adebola Shopping Mall)	Chain Retail	+234 1 497 0404	Unit 10, Adebola Shopping Mall, 53 Isaac John Street	Ikeja GRA	Phone on record	
Medplus Pharmacy - Ikeja GRA	Chain Retail	+234 915 498 0431	Ntel Store, 1 Sobo Arobiodu Street	Ikeja GRA	Phone on record	
Medplus Pharmacy - Isaac John	Chain Retail	+234 915 049 3174	29 Isaac John Street	Ikeja GRA	Phone on record	
St. David's Pharmacy	Retail	+234 703 294 6611	14 Isaac John Street	Ikeja GRA	Phone on record	
Neimeth International Pharmaceuticals	Manufacturer/Distribution	+234 1 899 7402	1 Henry Carr Street	Ikeja Industrial Estate	Phone on record	
2Arms Pharmaceuticals	Retail	0706 493 8010	6 Agura, Gberighe Road, Ikorodu	Ikorodu	Verified	Verified from published directory
